+proj=utm +zone=12 +ellps=WGS84 +datum=WGS84 +units=m +no_defs
435739.65830000024 4566700.3071 1496.366 4181 2824 DSC00011.JPG gcp5
435739.65830000024 4566700.3071 1496.366 4211 1736 DSC00012.JPG gcp5
435739.65830000024 4566700.3071 1496.366 4162 638 DSC00013.JPG gcp5
435739.65830000024 4566700.3071 1496.366 7420 3765 DSC00028.JPG gcp5
435739.65830000024 4566700.3071 1496.366 7364 2761 DSC00029.JPG gcp5
435739.65830000024 4566700.3071 1496.366 7179 1768 DSC00030.JPG gcp5
435739.65830000024 4566700.3071 1496.366 7221 654 DSC00031.JPG gcp5
435661.3847000003 4566806.057399999 1495.25 571 4628 DSC00036.JPG gcp4
435661.3847000003 4566806.057399999 1495.25 559 3672 DSC00037.JPG gcp4
435661.3847000003 4566806.057399999 1495.25 577 1815 DSC00038.JPG gcp4
435661.3847000003 4566806.057399999 1495.25 666 1246 DSC00039.JPG gcp4
435661.3847000003 4566806.057399999 1495.25 5964 4951 DSC00056.JPG gcp4
435661.3847000003 4566806.057399999 1495.25 5965 3928 DSC00057.JPG gcp4
435661.3847000003 4566806.057399999 1495.25 5982 2922 DSC00058.JPG gcp4
435661.3847000003 4566806.057399999 1495.25 5950 1874 DSC00059.JPG gcp4
435661.3847000003 4566806.057399999 1495.25 5970 839 DSC00060.JPG gcp4
435661.3847000003 4566806.057399999 1495.25 4411 990 DSC00061.JPG gcp4
435610.39020000026 4566720.6555 1495.149 2550 4567 DSC00087.JPG gcp3
435610.39020000026 4566720.6555 1495.149 2551 3531 DSC00088.JPG gcp3
435610.39020000026 4566720.6555 1495.149 2585 2491 DSC00089.JPG gcp3
435610.39020000026 4566720.6555 1495.149 2515 1498 DSC00090.JPG gcp3
435610.39020000026 4566720.6555 1495.149 2641 383 DSC00091.JPG gcp3
435661.3847000003 4566806.057399999 1495.25 7102 3698 DSC00095.JPG gcp4
435661.3847000003 4566806.057399999 1495.25 7036 2556 DSC00096.JPG gcp4
435661.3847000003 4566806.057399999 1495.25 7060 1538 DSC00097.JPG gcp4
435661.3847000003 4566806.057399999 1495.25 7061 541 DSC00098.JPG gcp4
435559.4877000004 4566872.232000001 1496.742 6754 4582 DSC00118.JPG gcp1
435559.4877000004 4566872.232000001 1496.742 6749 3477 DSC00119.JPG gcp1
435559.4877000004 4566872.232000001 1496.742 6763 2425 DSC00120.JPG gcp1
435559.4877000004 4566872.232000001 1496.742 6725 1382 DSC00121.JPG gcp1
435559.4877000004 4566872.232000001 1496.742 6760 366 DSC00122.JPG gcp1
435567.1607999997 4566795.8715 1495.478 6164 4981 DSC00124.JPG gcp2
435567.1607999997 4566795.8715 1495.478 6105 3953 DSC00125.JPG gcp2
435567.1607999997 4566795.8715 1495.478 6132 2841 DSC00126.JPG gcp2
435567.1607999997 4566795.8715 1495.478 6136 1804 DSC00127.JPG gcp2
435567.1607999997 4566795.8715 1495.478 6048 814 DSC00128.JPG gcp2
435610.39020000026 4566720.6555 1495.149 2388 4235 DSC00131.JPG gcp3
435610.39020000026 4566720.6555 1495.149 2392 3218 DSC00132.JPG gcp3
435610.39020000026 4566720.6555 1495.149 2380 2194 DSC00133.JPG gcp3
435610.39020000026 4566720.6555 1495.149 2508 1091 DSC00134.JPG gcp3
435610.39020000026 4566720.6555 1495.149 2473 129 DSC00135.JPG gcp3
435567.1607999997 4566795.8715 1495.478 5372 5031 DSC00159.JPG gcp2
435567.1607999997 4566795.8715 1495.478 5476 3913 DSC00160.JPG gcp2
435567.1607999997 4566795.8715 1495.478 5418 2813 DSC00161.JPG gcp2
435567.1607999997 4566795.8715 1495.478 5409 1825 DSC00162.JPG gcp2
435567.1607999997 4566795.8715 1495.478 5476 713 DSC00163.JPG gcp2
435559.4877000004 4566872.232000001 1496.742 4817 4408 DSC00166.JPG gcp1
435559.4877000004 4566872.232000001 1496.742 4881 3307 DSC00167.JPG gcp1
435559.4877000004 4566872.232000001 1496.742 4867 2170 DSC00168.JPG gcp1
435559.4877000004 4566872.232000001 1496.742 4793 1150 DSC00169.JPG gcp1
435559.4877000004 4566872.232000001 1496.742 4854 96 DSC00170.JPG gcp1
